,0
ENSG00000132481.5,69
ENSG00000116667.11,59
ENSG00000070018.7,46
ENSG00000142192.19,43
ENSG00000125730.15,82
ENSG00000118257.15,38
ENSG00000139438.5,12
ENSG00000162433.13,18
ENSG00000197782.13,39
ENSG00000104055.13,92
ENSG00000232229.4,3
ENSG00000179241.11,21
ENSG00000186510.10,116
ENSG00000133134.10,19
ENSG00000214870.7,14
ENSG00000007038.9,37
ENSG00000165995.17,72
ENSG00000128342.4,6
ENSG00000164362.17,115
ENSG00000183386.8,9
ENSG00000223865.9,34
ENSG00000110318.12,72
ENSG00000173715.14,182
ENSG00000108813.10,82
ENSG00000075275.15,80
ENSG00000127325.17,14
ENSG00000096092.5,94
ENSG00000132879.12,109
ENSG00000104892.15,26
ENSG00000145335.14,23
ENSG00000116147.15,31
ENSG00000162366.6,48
ENSG00000170891.9,31
ENSG00000081377.15,133
ENSG00000223509.7,34
ENSG00000137941.15,12
ENSG00000103599.18,189
ENSG00000109113.16,9
ENSG00000171246.5,90
ENSG00000165533.17,69
ENSG00000105559.10,15
ENSG00000087842.9,38
ENSG00000113140.9,153
ENSG00000127328.20,93
ENSG00000137225.11,13
ENSG00000186642.14,191
ENSG00000144406.17,12
ENSG00000261064.1,135
ENSG00000150967.16,19
ENSG00000128422.14,5
ENSG00000099250.16,50
ENSG00000197301.6,32
ENSG00000196890.4,14
ENSG00000134278.13,11
ENSG00000267218.2,31
ENSG00000171388.11,14
ENSG00000267632.1,10
ENSG00000267056.2,42
ENSG00000270379.4,32
ENSG00000279930.1,7
ENSG00000137821.10,45
ENSG00000197822.9,43
ENSG00000088808.15,52
ENSG00000126583.9,2
ENSG00000109787.11,36
ENSG00000164120.12,33
ENSG00000076351.11,34
ENSG00000152465.16,42
ENSG00000102996.4,77
ENSG00000141696.11,40
ENSG00000160161.8,2
ENSG00000104728.14,33
ENSG00000256948.1,31
ENSG00000166562.7,83
ENSG00000101194.16,8
ENSG00000144354.12,13
ENSG00000165698.14,21
ENSG00000153551.12,3
ENSG00000242574.7,12
ENSG00000233622.1,30
ENSG00000163040.13,11
ENSG00000138735.14,80
ENSG00000188001.8,25
ENSG00000097096.8,16
ENSG00000185630.17,51
ENSG00000174705.10,40
ENSG00000172828.11,5
ENSG00000184232.7,9
ENSG00000135069.12,8
ENSG00000099139.12,35
ENSG00000008086.9,23
ENSG00000130413.14,58
ENSG00000271869.1,7
ENSG00000173599.12,21
ENSG00000273802.1,52
ENSG00000197081.11,36
ENSG00000128016.5,13
ENSG00000132016.10,29
ENSG00000155093.16,38
ENSG00000115844.9,6
ENSG00000130958.10,21
ENSG00000158769.16,48
ENSG00000213073.4,26
ENSG00000117519.14,38
ENSG00000144935.13,38
ENSG00000225778.4,6
ENSG00000233723.6,118
ENSG00000133246.10,36
ENSG00000151929.8,47
ENSG00000228439.4,197
ENSG00000060656.18,111
ENSG00000144331.17,22
ENSG00000124159.14,79
ENSG00000273472.1,24
ENSG00000172247.3,32
ENSG00000214140.9,56
ENSG00000136717.13,1
ENSG00000133985.2,77
ENSG00000238266.1,12
ENSG00000244476.2,23
ENSG00000008405.10,18
ENSG00000030419.15,154
ENSG00000122223.11,48
ENSG00000182389.17,65
ENSG00000101115.11,27
ENSG00000187634.9,60
ENSG00000102554.12,20
ENSG00000126264.8,20
ENSG00000046604.11,25
ENSG00000274736.3,10
ENSG00000204603.5,5
ENSG00000154839.8,23
ENSG00000151376.15,58
ENSG00000274833.1,74
ENSG00000154654.13,9
ENSG00000125780.11,3
ENSG00000130203.8,8
ENSG00000215417.9,36
ENSG00000130529.14,10
ENSG00000198910.11,21
ENSG00000105251.9,21
ENSG00000272189.1,74
ENSG00000106976.17,4
ENSG00000153930.9,71
ENSG00000162836.10,7
ENSG00000153283.11,29
ENSG00000163354.13,7
ENSG00000085733.14,58
ENSG00000088882.7,6
ENSG00000090530.8,10
ENSG00000122711.7,20
ENSG00000151276.22,17
ENSG00000280721.1,21
ENSG00000100321.13,12
ENSG00000123570.3,7
ENSG00000184226.13,26
ENSG00000109771.14,2
ENSG00000227533.4,4
ENSG00000187955.10,4
ENSG00000198502.5,7
ENSG00000140403.11,83
ENSG00000163697.15,9
ENSG00000183723.11,7
ENSG00000139508.13,26
ENSG00000271938.1,12
ENSG00000229646.2,33
ENSG00000185129.5,13
ENSG00000227262.3,50
ENSG00000135346.7,108
ENSG00000137474.18,5
ENSG00000134531.8,103
ENSG00000186806.5,17
ENSG00000277443.1,35
ENSG00000129465.14,36
ENSG00000023909.8,10
ENSG00000059804.14,12
ENSG00000173868.10,26
ENSG00000119401.10,17
ENSG00000172572.6,24
ENSG00000145730.19,41
ENSG00000127955.14,28
ENSG00000139174.9,2
